handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
falls-of-glenariff,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-dark-hedges,Product,The Dark Hedges,"The Dark Hedges is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_3e314102b8244bbdb3fe3cd0d73d1c64~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-dark-hedges,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-dark-hedges,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botanic-in-bloom,Product,Botanic in Bloom,"Botanic in Bloom is a beautiful piece of Clare Smith's collection, with available by email or at St George's Market. High-quality prints available in A4 and A3.",86cb05_1715e540cc5b43789a89aeae4b006b6d~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botanic-in-bloom,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botanic-in-bloom,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-mourne-mountains-from-silent-valley,Product,The Mourne Mountains from Silent Valley,"The Mourne Mountains from Silent Valley is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_5e9e2362ee8e4746a893ff5dcc094f7f~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-mourne-mountains-from-silent-valley,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-mourne-mountains-from-silent-valley,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-robin-s-bond,Product,A Robin's Bond,"A Robin's Bond is a beautiful piece of Clare Smith's collection, with available by email or at St George's Market. High-quality prints available in A4 and A3.",86cb05_7457fd10ef4646eda418256dadfba77a~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-robin-s-bond,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-robin-s-bond,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giants-causeway,Product,Giants Causeway,"Giants Causeway is a beautiful piece of Clare Smith's collection, with available by email or at St George's Market. High-quality prints available in A4 and A3.",86cb05_cf98d678a7db4727b04182024fda1035~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giants-causeway,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giants-causeway,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-park-bay,Product,White Park Bay,"White Park Bay is a beautiful piece of Clare Smith's collection, with available by email or at St George's Market. High-quality prints available in A4 and A3.",86cb05_4611fff9b7b94962b23e15971e375d4c~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-park-bay,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-park-bay,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
titanic,Product,Titanic,"Titanic is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_55d99b89c15347eeacb37049d2196d80~mv2.png,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
titanic,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
